Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,32.5,30.5,32.125,30.5625,441000,30.5625
2000-01-04,30.9375,30.3125,30.5,30.4375,490600,30.4375
2000-01-05,30.4375,29.875,30.3125,30.3125,577400,30.3125
2000-01-06,29.9375,28.9375,29.75,29.0625,489600,29.0625
2000-01-07,31.125,29.0625,29.0625,30.4375,472100,30.4375
2000-01-10,31.625,30.5625,31.5,30.6875,355100,30.6875
2000-01-11,30.9375,29.5625,30.9375,30.0625,648700,30.0625
2000-01-12,30.0,29.5,29.9375,29.8125,445500,29.8125
2000-01-13,30.5,29.5625,29.6875,30.0,224300,30.0
2000-01-14,30.3125,29.625,30.0,29.75,546400,29.75
2000-01-18,30.4375,29.25,29.5,29.625,341900,29.625
2000-01-19,30.25,29.6875,29.75,30.125,240500,30.125
2000-01-20,30.0625,29.0,30.0,29.0625,375400,29.0625
2000-01-21,29.3125,28.0,29.3125,28.25,516500,28.25
2000-01-24,28.4375,27.75,28.1875,27.75,384600,27.75
2000-01-25,28.3125,27.375,27.625,27.875,361200,27.875
2000-01-26,28.0,26.75,26.75,27.625,600700,27.625
2000-01-27,27.6875,26.6875,27.5,27.0,441300,27.0
2000-01-28,27.125,26.1875,26.75,26.1875,384800,26.1875
2000-01-31,26.5,26.125,26.25,26.25,329400,26.25
2000-02-01,27.0625,26.125,26.125,26.3125,564300,26.3125
2000-02-02,26.25,25.625,26.0625,25.8125,512200,25.8125
2000-02-03,26.9375,25.125,25.8125,26.5625,428900,26.5625
2000-02-04,27.125,26.5,26.5,26.625,388000,26.625
2000-02-07,26.25,25.25,26.25,25.375,163100,25.375
2000-02-08,25.625,24.5,25.375,25.1875,575300,25.1875
2000-02-09,25.75,23.875,25.625,24.0,796600,24.0
2000-02-10,24.25,23.375,24.0,24.0625,1114300,24.0625
2000-02-11,24.125,23.25,24.0,23.25,1216000,23.25
2000-02-14,23.5,23.0625,23.25,23.375,237300,23.375
2000-02-15,23.625,23.0625,23.3125,23.375,382100,23.375
2000-02-16,23.5625,22.0625,23.375,22.3125,922700,22.3125
2000-02-17,23.9375,22.625,23.375,22.625,758100,22.625
2000-02-18,23.125,22.0,23.0,22.125,1077000,22.125
2000-02-22,22.875,22.0,22.0,22.375,1041500,22.375
2000-02-23,23.5,22.3125,22.375,23.25,937900,23.25
2000-02-24,23.0625,22.0625,23.0,22.0625,619500,22.0625
2000-02-25,24.375,22.0625,22.0625,23.3125,685000,23.3125
2000-02-28,24.0625,22.5625,23.1875,23.0625,486000,23.0625
2000-02-29,24.625,22.75,22.9375,24.0,878600,24.0
2000-03-01,24.5625,22.125,24.5625,22.625,724400,22.625
2000-03-02,23.25,22.5,22.75,22.8125,945000,22.8125
2000-03-03,22.75,22.25,22.25,22.4375,668200,22.4375
