Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,26.25,25.625,26.1875,26.1875,776300.0,19.089441299438477
2000-01-04,26.0,25.5,25.5,25.5,633300.0,18.588293075561523
2000-01-05,25.9375,25.25,25.75,25.6875,749800.0,18.724966049194336
2000-01-06,27.3125,25.625,25.6875,26.75,427900.0,19.499475479125977
2000-01-07,28.375,26.9375,27.0,28.25,896300.0,20.592910766601562
2000-01-10,28.1875,27.5625,28.125,27.625,513600.0,20.137310028076172
2000-01-11,28.1875,27.125,27.875,27.1875,572300.0,19.818395614624023
2000-01-12,26.75,26.125,26.6875,26.3125,839900.0,19.180557250976562
2000-01-13,28.5,26.375,26.4375,28.125,680700.0,20.501789093017578
2000-01-14,28.0,26.875,28.0,27.375,631700.0,19.955074310302734
2000-01-18,27.9375,26.75,27.1875,27.4375,904700.0,20.00063705444336
2000-01-19,28.625,27.0,27.1875,28.375,888800.0,20.68402671813965
2000-01-20,28.625,27.625,28.375,27.8125,752100.0,20.273988723754883
2000-01-21,29.4375,28.375,29.0,28.8125,1278900.0,21.002933502197266
2000-01-24,28.6875,27.125,28.6875,27.875,857100.0,20.319547653198242
2000-01-25,28.0,26.8125,27.625,27.1875,677300.0,19.818395614624023
2000-01-26,27.875,26.8125,27.375,26.8125,706500.0,19.5450382232666
2000-01-27,27.875,26.6875,26.9375,27.875,850800.0,20.319547653198242
2000-01-28,27.625,26.375,27.625,26.5,810600.0,19.317245483398438
2000-01-31,26.8125,25.8125,26.4375,26.1875,751100.0,19.089441299438477
2000-02-01,27.125,26.125,26.3125,27.125,469300.0,19.77283477783203
2000-02-02,26.875,26.0,26.875,26.3125,816100.0,19.180557250976562
2000-02-03,26.3125,25.625,26.3125,26.0,660200.0,18.9527645111084
2000-02-04,26.4375,25.9375,26.25,26.0,667000.0,18.9527645111084
2000-02-07,26.4375,25.9375,26.25,26.0,552500.0,18.9527645111084
2000-02-08,26.0,25.25,26.0,25.6875,780600.0,18.724966049194336
2000-02-09,25.9375,24.75,25.4375,25.875,1487800.0,18.861642837524414
2000-02-10,25.9375,24.8125,25.8125,25.125,853200.0,18.314926147460938
2000-02-11,25.4375,24.8125,25.375,25.0,732700.0,18.223812103271484
2000-02-14,25.875,25.0,25.1875,25.8125,767800.0,18.81609344482422
2000-02-15,25.5,24.0,25.375,25.125,810500.0,18.314926147460938
2000-02-16,25.75,24.8125,25.0,25.625,894400.0,18.679410934448242
2000-02-17,26.4375,25.0,25.5,26.3125,887100.0,19.180557250976562
2000-02-18,31.875,26.5625,26.5625,30.5625,4358000.0,22.27860450744629
2000-02-22,30.25,28.3125,30.25,29.0625,1977400.0,21.185184478759766
2000-02-23,30.625,28.6875,28.8125,30.0,2633800.0,21.868574142456055
2000-02-24,32.0,28.875,29.375,32.0,2466900.0,23.32648277282715
2000-02-25,34.4375,31.875,32.0,34.125,3712000.0,24.875503540039062
2000-02-28,33.4375,30.75,33.375,31.0,2058300.0,22.597532272338867
2000-02-29,31.875,30.25,31.0,31.0,1528100.0,22.597532272338867
2000-03-01,32.3125,30.5625,30.9375,31.3125,2458500.0,22.825326919555664
2000-03-02,32.375,30.75,31.9375,31.4375,1741700.0,22.91644859313965
2000-03-03,31.9375,30.8125,31.5,31.5,1670300.0,22.961997985839844
2000-03-06,31.5625,30.3125,31.5625,30.8125,1004300.0,22.460847854614258
2000-03-07,30.25,28.75,30.25,29.625,1824600.0,21.595216751098633
2000-03-08,30.3125,28.875,29.6875,30.0625,1896800.0,21.982776641845703
2000-03-09,31.3125,29.5625,30.25,30.875,1500700.0,22.5768985748291
2000-03-10,33.0,31.6875,32.0,32.0,2773900.0,23.39954376220703
2000-03-13,31.75,30.0625,31.75,30.625,856600.0,22.394094467163086
2000-03-14,31.0625,29.5,30.875,29.625,1112400.0,21.662858963012695
2000-03-15,30.625,28.9375,29.375,30.4375,1622600.0,22.256982803344727
2000-03-16,31.1875,30.125,30.4375,31.0,1630600.0,22.668302536010742
2000-03-17,31.6875,30.6875,31.25,31.25,1512500.0,22.85111427307129
2000-03-20,31.625,30.8125,31.0,31.0,706700.0,22.668302536010742
2000-03-21,31.0625,30.375,31.0,31.0,790600.0,22.668302536010742
2000-03-22,31.0,29.9375,30.75,30.9375,889500.0,22.62260627746582
2000-03-23,30.8125,29.5625,30.8125,30.0,935100.0,21.937068939208984
2000-03-24,29.5625,27.25,29.0,28.0,1617600.0,20.474611282348633
2000-03-27,28.0625,26.625,28.0,26.9375,1480500.0,19.69766616821289
2000-03-28,27.5,26.625,26.8125,27.125,1396200.0,19.83477210998535
2000-03-29,27.0625,26.625,27.0,26.875,1128600.0,19.651958465576172
2000-03-30,27.1875,26.375,27.0,26.5,1647400.0,19.377750396728516
