Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,18.875,18.625,18.8125,18.8125,110000.0,7.809034824371338
2000-01-04,18.8125,18.625,18.75,18.75,176500.0,7.7830939292907715
2000-01-05,18.875,18.625,18.75,18.6875,135400.0,7.757146835327148
2000-01-06,19.25,18.625,18.75,19.25,186800.0,7.990643501281738
2000-01-07,20.375,19.1875,19.25,20.25,190200.0,8.405744552612305
2000-01-10,20.5,20.0625,20.3125,20.375,64400.0,8.457627296447754
2000-01-11,20.25,19.5,20.25,19.625,56900.0,8.146306991577148
2000-01-12,20.25,19.75,19.75,20.0,96100.0,8.301970481872559
2000-01-13,20.0625,19.625,19.875,19.9375,164200.0,8.276023864746094
2000-01-14,20.0625,19.75,20.0,19.75,53400.0,8.198193550109863
2000-01-18,20.0625,19.8125,20.0,20.0,64000.0,8.301970481872559
2000-01-19,20.125,19.75,19.875,20.125,154100.0,8.353851318359375
2000-01-20,20.25,20.125,20.1875,20.1875,51900.0,8.37979793548584
2000-01-21,20.1875,20.0625,20.1875,20.1875,29200.0,8.37979793548584
2000-01-24,20.1875,20.0,20.125,20.0,52600.0,8.301970481872559
2000-01-25,20.125,19.875,20.0,20.0,66700.0,8.301970481872559
2000-01-26,20.0625,20.0,20.0625,20.0,34200.0,8.301970481872559
2000-01-27,20.125,20.0,20.0625,20.0625,61000.0,8.327911376953125
2000-01-28,20.0625,20.0,20.0,20.0625,33400.0,8.327911376953125
2000-01-31,20.0625,19.9375,19.9375,19.9375,57100.0,8.276023864746094
2000-02-01,20.0625,19.875,20.0625,20.0625,49100.0,8.327911376953125
2000-02-02,20.0625,19.625,20.0625,19.6875,171500.0,8.172247886657715
2000-02-03,19.8125,19.6875,19.75,19.75,34500.0,8.198193550109863
2000-02-04,19.6875,19.4375,19.625,19.4375,73000.0,8.068473815917969
2000-02-07,19.5,19.1875,19.375,19.1875,99200.0,7.964698314666748
2000-02-08,19.25,19.0,19.1875,19.125,73500.0,7.938753604888916
2000-02-09,19.25,18.875,19.1875,19.125,70600.0,7.938753604888916
2000-02-10,19.375,18.9375,19.0,19.3125,33400.0,8.01658821105957
2000-02-11,19.25,18.75,19.1875,18.75,77400.0,7.7830939292907715
2000-02-14,18.75,17.75,18.75,18.0,143600.0,7.47177267074585
2000-02-15,18.25,17.875,18.0,18.0,249000.0,7.47177267074585
2000-02-16,18.125,17.875,18.0,17.875,97100.0,7.4198832511901855
2000-02-17,18.0625,17.9375,17.9375,18.0625,70100.0,7.497708320617676
2000-02-18,18.375,18.0625,18.0625,18.1875,113000.0,7.549599647521973
2000-02-22,18.5,18.0625,18.125,18.5,83500.0,7.679320335388184
2000-02-23,18.6875,18.125,18.375,18.625,85000.0,7.731204509735107
2000-02-24,18.5,18.0625,18.5,18.25,49900.0,7.575543403625488
2000-02-25,18.5,18.25,18.25,18.375,37200.0,7.627431392669678
2000-02-28,18.75,18.375,18.375,18.625,57300.0,7.731204509735107
2000-02-29,19.25,18.625,18.75,19.25,114200.0,7.990643501281738
2000-03-01,19.25,18.9375,19.1875,19.125,109400.0,7.938753604888916
2000-03-02,19.0625,19.0,19.0625,19.0,39600.0,7.886868953704834
2000-03-03,19.25,18.9375,19.25,19.0625,135200.0,7.912810325622559
2000-03-06,19.1875,18.8125,19.0,19.1875,184300.0,7.964698314666748
2000-03-07,19.25,18.75,19.1875,18.75,128000.0,7.7830939292907715
2000-03-08,19.0,18.875,18.875,19.0,58400.0,7.886868953704834
2000-03-09,19.0,18.75,18.9375,18.875,31800.0,7.834979057312012
2000-03-10,18.9375,18.6875,18.8125,18.75,42500.0,7.7830939292907715
2000-03-13,18.875,18.6875,18.75,18.75,17600.0,7.7830939292907715
2000-03-14,19.0,18.75,18.75,18.875,49800.0,7.834979057312012
2000-03-15,18.9375,18.625,18.9375,18.75,285500.0,7.7830939292907715
2000-03-16,19.0,18.875,18.875,19.0,68400.0,7.886868953704834
2000-03-17,19.25,19.0,19.0,19.1875,61800.0,7.964698314666748
2000-03-20,19.375,19.0,19.0625,19.3125,111500.0,8.01658821105957
2000-03-21,19.6875,19.0,19.1875,19.6875,53200.0,8.172247886657715
2000-03-22,19.125,18.5,19.0625,19.0,66600.0,8.071356773376465
2000-03-23,19.0,18.5,18.875,18.8125,59800.0,7.991702079772949
2000-03-24,18.9375,18.5625,18.625,18.5625,71900.0,7.885501384735107
2000-03-27,18.9375,18.625,18.6875,18.8125,80500.0,7.991702079772949
2000-03-28,19.0,18.75,18.75,18.875,76200.0,8.018253326416016
2000-03-29,19.0625,18.875,18.9375,19.0,142300.0,8.071356773376465
2000-03-30,19.125,19.0,19.0,19.125,39400.0,8.124455451965332
2000-03-31,19.3125,19.0,19.0625,19.3125,41400.0,8.204111099243164
2000-04-03,19.3125,19.0625,19.25,19.125,42500.0,8.124455451965332
