Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,16.625,15.0625,15.5,16.625,1006700,16.625
2000-01-04,16.125,15.25,16.0,15.375,631500,15.375
2000-01-05,15.375,14.5625,15.3125,14.75,470400,14.75
2000-01-06,14.875,14.3125,14.875,14.75,466400,14.75
2000-01-07,15.25,14.375,14.75,14.75,445700,14.75
2000-01-10,16.0,15.0,15.625,15.5,520800,15.5
2000-01-11,15.9375,15.0,15.25,15.875,704900,15.875
2000-01-12,16.625,15.75,15.9375,16.4375,667000,16.4375
2000-01-13,16.5,15.75,16.5,16.5,362200,16.5
2000-01-14,16.375,15.9375,16.125,16.0,306300,16.0
2000-01-18,16.875,15.9375,16.0,16.25,350500,16.25
2000-01-19,17.125,16.3125,16.5,17.0,202300,17.0
2000-01-20,17.125,16.5,17.0,17.0625,335700,17.0625
2000-01-21,17.5,16.875,17.5,17.0,262900,17.0
2000-01-24,17.125,16.5,17.0,16.625,347500,16.625
2000-01-25,16.75,16.125,16.75,16.125,381900,16.125
2000-01-26,16.5,15.625,16.25,15.6875,351700,15.6875
2000-01-27,16.75,15.5,15.625,16.0625,281300,16.0625
2000-01-28,16.25,15.6875,16.0,15.875,163800,15.875
2000-01-31,15.875,15.375,15.8125,15.5625,166800,15.5625
2000-02-01,15.875,15.25,15.3125,15.8125,315000,15.8125
2000-02-02,15.9375,15.25,15.9375,15.4375,223200,15.4375
2000-02-03,15.4375,15.0,15.4375,15.25,192700,15.25
2000-02-04,15.4375,15.0,15.0625,15.1875,451400,15.1875
2000-02-07,14.875,14.5,14.6875,14.8125,134500,14.8125
2000-02-08,14.625,14.3125,14.5,14.5,247300,14.5
2000-02-09,14.4375,13.875,14.4375,14.125,276400,14.125
2000-02-10,14.4375,14.0,14.25,14.3125,308700,14.3125
2000-02-11,14.625,14.0,14.1875,14.5625,284400,14.5625
2000-02-14,14.5625,14.0,14.5625,14.25,523200,14.25
2000-02-15,14.375,13.875,14.25,14.0625,371500,14.0625
2000-02-16,14.0,13.5625,13.9375,13.875,190700,13.875
2000-02-17,13.75,13.375,13.375,13.625,534100,13.625
2000-02-18,13.5,13.125,13.5,13.375,113400,13.375
2000-02-22,13.625,13.1875,13.1875,13.25,197200,13.25
2000-02-23,13.5,13.0,13.1875,13.4375,146900,13.4375
2000-02-24,13.8125,13.3125,13.75,13.375,215200,13.375
2000-02-25,13.75,12.625,13.375,12.6875,650100,12.6875
2000-02-28,14.0,12.625,12.9375,13.8125,309100,13.8125
2000-02-29,14.375,13.75,14.0,14.3125,193300,14.3125
2000-03-01,14.875,14.375,14.875,14.5625,435500,14.5625
2000-03-02,14.75,14.1875,14.625,14.3125,185300,14.3125
2000-03-03,14.625,14.125,14.4375,14.5625,833600,14.5625
2000-03-06,14.875,14.0625,14.875,14.125,186100,14.125
2000-03-07,14.625,14.0625,14.0625,14.3125,134100,14.3125
2000-03-08,14.1875,13.9375,13.9375,14.1875,90400,14.1875
2000-03-09,14.5,14.0625,14.25,14.375,58200,14.375
2000-03-10,14.5,14.0625,14.5,14.0625,127200,14.0625
2000-03-13,14.4375,13.625,13.9375,13.8125,147300,13.8125
2000-03-14,13.9375,13.375,13.6875,13.5,109100,13.5
2000-03-15,13.75,13.25,13.625,13.75,114500,13.75
2000-03-16,14.6875,13.5625,13.625,14.5625,234000,14.5625
2000-03-17,14.625,14.0625,14.625,14.0625,190900,14.0625
2000-03-20,14.875,14.125,14.1875,14.25,180400,14.25
2000-03-21,15.5,13.75,14.125,15.5,982600,15.5
2000-03-22,22.25,18.125,18.5,22.1875,2932000,22.1875
2000-03-23,20.875,19.625,19.75,20.0625,1730700,20.0625
2000-03-24,21.75,19.8125,19.8125,21.0625,902300,21.0625
2000-03-27,21.25,20.5,21.25,20.6875,722900,20.6875
2000-03-28,20.5,18.75,20.5,19.0,635100,19.0
2000-03-29,19.0,18.0,19.0,18.1875,564100,18.1875
2000-03-30,18.3125,17.75,18.0625,17.75,493800,17.75
2000-03-31,17.5,15.75,17.125,15.75,715700,15.75
2000-04-03,16.4375,15.8125,15.8125,16.0,306200,16.0
2000-04-04,16.8125,15.0,16.125,15.6875,527500,15.6875
2000-04-05,15.875,14.875,15.6875,15.4375,718900,15.4375
2000-04-06,15.625,15.25,15.375,15.375,679600,15.375
2000-04-07,15.75,15.125,15.4375,15.625,846000,15.625
2000-04-10,16.8125,15.875,15.875,16.4375,747800,16.4375
2000-04-11,17.0,15.625,16.4375,16.5625,656700,16.5625
2000-04-12,16.4375,15.375,16.4375,15.5625,588600,15.5625
2000-04-13,15.75,14.8125,15.75,14.875,286100,14.875
2000-04-14,14.5625,13.0,14.5625,13.0,614100,13.0
2000-04-17,13.4375,12.75,12.875,12.8125,476600,12.8125
2000-04-18,13.0,12.5,12.8125,12.75,677000,12.75
2000-04-19,13.3125,12.75,13.125,12.9375,481900,12.9375
2000-04-20,13.0625,12.875,12.875,12.875,133900,12.875
2000-04-24,13.5,12.4375,12.875,13.0,412000,13.0
2000-04-25,14.125,13.5,13.75,14.0,227500,14.0
2000-04-26,14.25,13.6875,14.25,13.75,165700,13.75
2000-04-27,13.875,13.4375,13.875,13.625,230500,13.625
2000-04-28,13.75,13.375,13.625,13.5,117300,13.5
2000-05-01,14.625,13.5,13.5,14.5,314900,14.5
2000-05-02,14.75,14.125,14.5,14.1875,150300,14.1875
2000-05-03,14.125,13.5,14.125,13.5,276300,13.5
2000-05-04,13.6875,13.1875,13.625,13.625,194900,13.625
2000-05-05,13.625,13.375,13.5,13.4375,102700,13.4375
2000-05-08,13.4375,12.75,13.4375,12.75,222800,12.75
2000-05-09,13.0625,12.6875,13.0,12.9375,141600,12.9375
2000-05-10,12.75,12.3125,12.375,12.5,178700,12.5
2000-05-11,12.75,12.4375,12.75,12.5,95200,12.5
2000-05-12,12.5,11.9375,12.375,12.125,243800,12.125
2000-05-15,12.375,11.875,12.0,12.375,467100,12.375
2000-05-16,12.75,12.125,12.75,12.3125,581200,12.3125
2000-05-17,12.5625,12.1875,12.25,12.4375,57800,12.4375
2000-05-18,12.8125,12.3125,12.5625,12.75,251500,12.75
2000-05-19,12.5625,12.25,12.5625,12.4375,124800,12.4375
2000-05-22,12.5,11.75,12.375,11.75,161000,11.75
2000-05-23,11.8125,11.375,11.8125,11.625,177700,11.625
2000-05-24,12.0625,11.5625,11.6875,12.0,308500,12.0
2000-05-25,12.1875,11.8125,11.9375,11.9375,213900,11.9375
2000-05-26,12.375,12.0,12.375,12.1875,156900,12.1875
2000-05-30,13.5625,12.0,12.0625,13.5625,302100,13.5625
2000-05-31,14.0,13.25,13.4375,13.3125,226300,13.3125
2000-06-01,14.0,13.0,13.3125,13.75,136800,13.75
2000-06-02,14.5,13.75,13.75,13.9375,244000,13.9375
2000-06-05,14.25,13.5625,13.8125,13.75,82200,13.75
2000-06-06,14.25,13.5,14.125,13.625,113100,13.625
2000-06-07,13.625,13.1875,13.5,13.625,123000,13.625
2000-06-08,13.625,13.125,13.625,13.3125,160700,13.3125
2000-06-09,13.4375,13.125,13.4375,13.1875,125100,13.1875
2000-06-12,13.25,12.5625,12.9375,12.875,54500,12.875
2000-06-13,12.8125,12.4375,12.8125,12.5,206400,12.5
2000-06-14,12.125,11.75,12.0,12.125,1337500,12.125
2000-06-15,12.5,11.9375,12.0,12.0,206600,12.0
2000-06-16,12.1875,11.5625,12.125,11.8125,177700,11.8125
2000-06-19,12.375,11.625,11.8125,12.3125,162300,12.3125
2000-06-20,12.375,11.9375,12.375,12.0,422200,12.0
2000-06-21,12.5,11.8125,12.0,12.5,135300,12.5
2000-06-22,13.25,12.0,13.25,12.125,158500,12.125
2000-06-23,12.0,11.625,11.75,11.75,468000,11.75
2000-06-26,11.75,11.375,11.625,11.625,369900,11.625
2000-06-27,12.0,11.375,11.6875,12.0,161500,12.0
2000-06-28,12.375,11.8125,12.25,12.1875,149200,12.1875
2000-06-29,13.4375,12.0,12.0,12.8125,468800,12.8125
2000-06-30,13.375,11.8125,12.625,12.0,1148900,12.0
2000-07-03,12.3125,11.8125,12.0,12.25,177300,12.25
2000-07-05,13.0,12.0,12.3125,13.0,418200,13.0
2000-07-06,12.6875,12.125,12.625,12.125,199900,12.125
2000-07-07,12.375,11.875,12.375,12.1875,403000,12.1875
2000-07-10,12.5625,12.1875,12.4375,12.3125,121000,12.3125
2000-07-11,12.4375,12.125,12.3125,12.1875,126300,12.1875
2000-07-12,12.4375,12.125,12.125,12.4375,164500,12.4375
2000-07-13,13.3125,12.375,12.375,13.3125,790600,13.3125
2000-07-14,14.0,13.4375,13.75,14.0,596400,14.0
2000-07-17,15.25,14.375,14.5,15.0625,779100,15.0625
2000-07-18,15.0,14.625,14.8125,14.75,377600,14.75
2000-07-19,14.8125,14.25,14.75,14.25,410300,14.25
2000-07-20,14.625,14.1875,14.25,14.3125,261200,14.3125
2000-07-21,14.5,14.0,14.3125,14.125,268300,14.125
2000-07-24,14.125,14.0,14.125,14.0,173600,14.0
2000-07-25,14.125,13.75,14.125,14.0,62400,14.0
2000-07-26,14.0625,13.75,14.0,13.875,323000,13.875
2000-07-27,14.0,13.625,13.875,13.6875,274400,13.6875
2000-07-28,13.6875,13.25,13.6875,13.3125,94100,13.3125
2000-07-31,14.125,13.1875,13.1875,14.125,77100,14.125
2000-08-01,13.875,13.1875,13.875,13.3125,95200,13.3125
2000-08-02,13.6875,12.75,13.6875,13.0,192400,13.0
2000-08-03,12.9375,12.75,12.875,12.9375,74100,12.9375
2000-08-04,13.1875,12.625,12.875,13.1875,92700,13.1875
