Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,64.4375,61.6875,64.3125,61.8125,294400.0,36.69227600097656
2000-01-04,62.1875,58.9375,61.5625,59.4375,472600.0,35.28247833251953
2000-01-05,60.8125,59.3125,59.4375,60.3125,419500.0,35.801876068115234
2000-01-06,61.625,59.6875,60.1875,60.8125,266600.0,36.09868621826172
2000-01-07,61.5625,60.375,60.9375,61.0,298400.0,36.20998001098633
2000-01-10,62.6875,61.125,61.25,61.75,212700.0,36.655189514160156
2000-01-11,64.5625,62.0,62.0,64.0,309500.0,37.99079895019531
2000-01-12,63.8125,61.75,63.75,61.75,357100.0,36.655189514160156
2000-01-13,62.25,61.25,62.0,61.4375,174500.0,36.46968078613281
2000-01-14,62.1875,61.125,61.5,61.1875,239500.0,36.3212776184082
2000-01-18,60.3125,59.25,60.0,59.3125,233500.0,35.208282470703125
2000-01-19,63.1875,59.625,61.5,59.625,548000.0,35.39377212524414
2000-01-20,60.5625,59.125,59.875,59.5,471900.0,35.31956481933594
2000-01-21,58.0,52.25,56.0,57.5,2453200.0,34.132354736328125
2000-01-24,59.9375,57.375,57.75,57.9375,894400.0,34.392059326171875
2000-01-25,58.375,51.75,57.9375,53.625,1122600.0,31.8321475982666
2000-01-26,59.9375,55.0,55.0625,59.875,920900.0,35.542179107666016
2000-01-27,60.25,56.4375,59.625,56.6875,895100.0,33.65003967285156
2000-01-28,58.5625,55.375,55.375,56.75,375500.0,33.68716812133789
2000-01-31,58.75,56.25,56.5,58.25,391500.0,34.57755661010742
2000-02-01,60.4375,58.25,58.25,59.6875,531500.0,35.430870056152344
2000-02-02,59.5,57.5625,59.4375,57.625,468300.0,34.20656204223633
2000-02-03,58.25,57.0625,57.5625,57.5625,355000.0,34.16946029663086
2000-02-04,58.1875,56.3125,57.8125,56.375,300100.0,33.46454620361328
2000-02-07,57.25,55.0,56.375,55.5625,495300.0,32.98225402832031
2000-02-08,56.1875,54.375,55.8125,54.375,372300.0,32.277347564697266
2000-02-09,55.375,54.6875,55.0625,54.9375,355200.0,32.61124038696289
2000-02-10,55.4375,54.125,55.0,54.375,288900.0,32.277347564697266
2000-02-11,55.375,52.625,54.9375,52.75,253400.0,31.31273078918457
2000-02-14,53.875,50.5,51.75,52.9375,741400.0,31.424026489257812
